Overview,Current Status,Issues
Delayed due to resource issues,On Track,Schedule delays
Delayed due to resource issues,On Track,Unexpected scope changes
Milestone reached,On Track,Budget overrun
Project in progress,On Track,Budget overrun
Delayed due to resource issues,At Risk,Resource bottleneck
Milestone reached,Delayed,Quality concerns
Project in progress,Completed,Quality concerns
Milestone reached,At Risk,Unexpected scope changes
Milestone reached,On Track,Quality concerns
Delayed due to resource issues,Delayed,Unexpected scope changes
Milestone reached,At Risk,Resource bottleneck
Delayed due to resource issues,Completed,Resource bottleneck
Delayed due to resource issues,At Risk,Schedule delays
Project in progress,On Track,Schedule delays
Delayed due to resource issues,At Risk,Schedule delays
Milestone reached,Completed,Unexpected scope changes
Delayed due to resource issues,Delayed,Resource bottleneck
Milestone reached,At Risk,Quality concerns
Milestone reached,At Risk,Quality concerns
Milestone reached,At Risk,Resource bottleneck
Project in progress,On Track,Quality concerns
Project in progress,Delayed,Quality concerns
Milestone reached,Completed,Schedule delays
Milestone reached,Completed,Quality concerns
Milestone reached,At Risk,Schedule delays
Delayed due to resource issues,Completed,Quality concerns
Project in progress,Completed,Resource bottleneck
Delayed due to resource issues,At Risk,Quality concerns
Project in progress,At Risk,Resource bottleneck
Delayed due to resource issues,At Risk,Budget overrun
Milestone reached,On Track,Quality concerns
Project in progress,On Track,Unexpected scope changes
Delayed due to resource issues,At Risk,Budget overrun
Project in progress,On Track,Resource bottleneck
Project in progress,At Risk,Schedule delays
Milestone reached,At Risk,Unexpected scope changes
Milestone reached,Completed,Resource bottleneck
Milestone reached,On Track,Quality concerns
Delayed due to resource issues,On Track,Unexpected scope changes
Milestone reached,Delayed,Quality concerns
Milestone reached,At Risk,Budget overrun
Milestone reached,Completed,Resource bottleneck
Milestone reached,At Risk,Unexpected scope changes
Milestone reached,On Track,Unexpected scope changes
Milestone reached,On Track,Unexpected scope changes
Project in progress,Completed,Schedule delays
Milestone reached,At Risk,Budget overrun
Delayed due to resource issues,On Track,Unexpected scope changes
Delayed due to resource issues,Delayed,Unexpected scope changes
Delayed due to resource issues,Completed,Resource bottleneck
