KPI,Performance Level,Insight
Resource Utilization,Good,"Slightly behind schedule, needs improvement"
Defect Rate,Average,"Needs attention, minor issues"
Budget Variance,Average,"Slightly behind schedule, needs improvement"
Budget Variance,Average,"Slightly behind schedule, needs improvement"
Budget Variance,Good,"Slightly behind schedule, needs improvement"
Resource Utilization,Good,"On track, no concerns"
Budget Variance,Poor,"Critical, requires intervention"
Budget Variance,Good,"Critical, requires intervention"
Milestone Progress,Good,"Critical, requires intervention"
Budget Variance,Average,"On track, no concerns"
Resource Utilization,Good,"On track, no concerns"
Budget Variance,Good,"Slightly behind schedule, needs improvement"
Defect Rate,Average,"Needs attention, minor issues"
Defect Rate,Good,"Needs attention, minor issues"
Defect Rate,Poor,"Slightly behind schedule, needs improvement"
Milestone Progress,Good,"On track, no concerns"
Completion Rate,Poor,"Needs attention, minor issues"
Defect Rate,Good,"Needs attention, minor issues"
Milestone Progress,Average,"Critical, requires intervention"
Defect Rate,Poor,"Needs attention, minor issues"
Budget Variance,Good,"Slightly behind schedule, needs improvement"
Completion Rate,Good,"On track, no concerns"
Completion Rate,Average,"On track, no concerns"
Completion Rate,Average,"On track, no concerns"
Resource Utilization,Poor,"Needs attention, minor issues"
Completion Rate,Poor,"Needs attention, minor issues"
Completion Rate,Poor,"On track, no concerns"
Milestone Progress,Poor,"Critical, requires intervention"
Resource Utilization,Good,"Critical, requires intervention"
Budget Variance,Good,"Slightly behind schedule, needs improvement"
Budget Variance,Poor,"On track, no concerns"
Defect Rate,Poor,"Critical, requires intervention"
Milestone Progress,Poor,"Needs attention, minor issues"
Resource Utilization,Good,"On track, no concerns"
Completion Rate,Poor,"Critical, requires intervention"
Milestone Progress,Average,"Needs attention, minor issues"
Milestone Progress,Good,"Slightly behind schedule, needs improvement"
Budget Variance,Average,"Slightly behind schedule, needs improvement"
Resource Utilization,Average,"Slightly behind schedule, needs improvement"
Budget Variance,Good,"Critical, requires intervention"
Budget Variance,Average,"Critical, requires intervention"
Budget Variance,Average,"Critical, requires intervention"
Milestone Progress,Poor,"Needs attention, minor issues"
Completion Rate,Average,"Needs attention, minor issues"
Budget Variance,Good,"On track, no concerns"
Budget Variance,Average,"Needs attention, minor issues"
Budget Variance,Good,"On track, no concerns"
Milestone Progress,Good,"Needs attention, minor issues"
Completion Rate,Good,"On track, no concerns"
Milestone Progress,Good,"Needs attention, minor issues"
