Change,Reason for Change,Impact on Deliverables
Requirement Added,Regulatory Requirement,Revised Timeline
Requirement Modified,Scope Adjustment,Delayed Delivery
Requirement Added,Stakeholder Request,Delayed Delivery
Requirement Removed,Stakeholder Request,Increased Cost
Requirement Modified,Technical Feasibility,Delayed Delivery
Requirement Added,Technical Feasibility,Delayed Delivery
Requirement Removed,Budget Constraints,Delayed Delivery
Requirement Modified,Technical Feasibility,Increased Cost
Requirement Removed,Scope Adjustment,Increased Scope
Requirement Removed,Regulatory Requirement,Revised Timeline
Requirement Modified,Budget Constraints,Increased Scope
Requirement Added,Scope Adjustment,Revised Timeline
Requirement Added,Regulatory Requirement,Increased Scope
Requirement Added,Technical Feasibility,Increased Scope
Requirement Removed,Budget Constraints,Delayed Delivery
Requirement Modified,Scope Adjustment,Delayed Delivery
Requirement Modified,Budget Constraints,Increased Scope
Requirement Removed,Budget Constraints,Increased Scope
Requirement Added,Technical Feasibility,Delayed Delivery
Requirement Added,Technical Feasibility,Increased Cost
Requirement Modified,Regulatory Requirement,Delayed Delivery
Requirement Modified,Technical Feasibility,Increased Scope
Requirement Modified,Technical Feasibility,Increased Scope
Requirement Removed,Stakeholder Request,Increased Cost
Requirement Added,Budget Constraints,Delayed Delivery
Requirement Modified,Technical Feasibility,Increased Scope
Requirement Added,Technical Feasibility,Increased Scope
Requirement Removed,Stakeholder Request,Delayed Delivery
Requirement Removed,Stakeholder Request,Increased Scope
Requirement Removed,Budget Constraints,Revised Timeline
Requirement Added,Budget Constraints,Increased Scope
Requirement Added,Technical Feasibility,Delayed Delivery
Requirement Modified,Regulatory Requirement,Increased Cost
Requirement Modified,Technical Feasibility,Revised Timeline
Requirement Modified,Scope Adjustment,Increased Scope
Requirement Added,Budget Constraints,Increased Cost
Requirement Modified,Technical Feasibility,Increased Cost
Requirement Added,Budget Constraints,Revised Timeline
Requirement Removed,Budget Constraints,Increased Cost
Requirement Added,Regulatory Requirement,Increased Scope
Requirement Added,Technical Feasibility,Revised Timeline
Requirement Removed,Budget Constraints,Delayed Delivery
Requirement Modified,Budget Constraints,Revised Timeline
Requirement Removed,Budget Constraints,Increased Scope
Requirement Removed,Stakeholder Request,Increased Scope
Requirement Added,Stakeholder Request,Increased Scope
Requirement Modified,Regulatory Requirement,Delayed Delivery
Requirement Removed,Budget Constraints,Revised Timeline
Requirement Removed,Scope Adjustment,Increased Cost
Requirement Removed,Scope Adjustment,Revised Timeline
