Entity Name,Attributes,Relationships
Payment,"Order ID, Date, Total",Invoice-Payment (1:1)
Product,"Name, Age, Email",Customer-Order (1:N)
Supplier,"Category Name, Description",Category-Product (1:M)
Product,"Supplier ID, Name, Contact",Order-Product (M:N)
Order,"Order ID, Date, Total",Order-Product (M:N)
Payment,"Name, Age, Email",Customer-Order (1:N)
Invoice,"Supplier ID, Name, Contact",Supplier-Product (1:M)
Customer,"Payment Method, Date, Amount",Supplier-Product (1:M)
Customer,"Category Name, Description",Invoice-Payment (1:1)
Product,"Category Name, Description",Customer-Order (1:N)
Product,"Product ID, Name, Price",Category-Product (1:M)
Invoice,"Payment Method, Date, Amount",Invoice-Payment (1:1)
Order,"Category Name, Description",Customer-Feedback (1:N)
Customer,"Order ID, Date, Total",Order-Product (M:N)
Product,"Name, Age, Email",Customer-Feedback (1:N)
Order,"Payment Method, Date, Amount",Customer-Order (1:N)
Order,"Name, Age, Email",Customer-Order (1:N)
Payment,"Name, Age, Email",Order-Product (M:N)
Customer,"Order ID, Date, Total",Invoice-Payment (1:1)
Category,"Supplier ID, Name, Contact",Supplier-Product (1:M)
Payment,"Name, Age, Email",Customer-Feedback (1:N)
Supplier,"Supplier ID, Name, Contact",Invoice-Payment (1:1)
Supplier,"Supplier ID, Name, Contact",Customer-Feedback (1:N)
Payment,"Supplier ID, Name, Contact",Invoice-Payment (1:1)
Customer,"Category Name, Description",Invoice-Payment (1:1)
Payment,"Order ID, Date, Total",Invoice-Payment (1:1)
Payment,"Payment Method, Date, Amount",Invoice-Payment (1:1)
Supplier,"Product ID, Name, Price",Customer-Order (1:N)
Order,"Category Name, Description",Order-Product (M:N)
Order,"Payment Method, Date, Amount",Category-Product (1:M)
Payment,"Name, Age, Email",Customer-Feedback (1:N)
Supplier,"Product ID, Name, Price",Category-Product (1:M)
Product,"Name, Age, Email",Customer-Feedback (1:N)
Category,"Name, Age, Email",Supplier-Product (1:M)
Customer,"Product ID, Name, Price",Category-Product (1:M)
Supplier,"Category Name, Description",Customer-Order (1:N)
Order,"Name, Age, Email",Order-Product (M:N)
Supplier,"Category Name, Description",Invoice-Payment (1:1)
Product,"Category Name, Description",Category-Product (1:M)
Supplier,"Supplier ID, Name, Contact",Invoice-Payment (1:1)
Product,"Category Name, Description",Customer-Order (1:N)
Supplier,"Name, Age, Email",Category-Product (1:M)
Supplier,"Name, Age, Email",Customer-Feedback (1:N)
Payment,"Supplier ID, Name, Contact",Order-Product (M:N)
Order,"Name, Age, Email",Supplier-Product (1:M)
Category,"Product ID, Name, Price",Category-Product (1:M)
Order,"Product ID, Name, Price",Supplier-Product (1:M)
Invoice,"Payment Method, Date, Amount",Customer-Order (1:N)
Payment,"Name, Age, Email",Supplier-Product (1:M)
Order,"Product ID, Name, Price",Supplier-Product (1:M)
