Solution Option,Criteria,Evaluation Score
Option B,Scalability,1
Option C,Scalability,1
Option B,Scalability,2
Option A,Scalability,1
Option C,Cost,2
Option C,Cost,1
Option A,Cost,3
Option A,Ease of Implementation,1
Option C,Ease of Implementation,2
Option B,Scalability,1
Option A,Cost,4
Option B,Scalability,1
Option B,Ease of Implementation,3
Option C,Cost,5
Option C,Scalability,1
Option C,Scalability,2
Option C,Cost,3
Option C,Ease of Implementation,1
Option C,Cost,4
Option B,Cost,2
Option A,Ease of Implementation,1
Option B,Cost,2
Option A,Scalability,4
Option B,Ease of Implementation,4
Option C,Ease of Implementation,1
Option C,Scalability,4
Option A,Scalability,5
Option C,Cost,1
Option A,Cost,4
Option C,Scalability,2
Option C,Cost,3
Option B,Scalability,2
Option C,Ease of Implementation,2
Option B,Scalability,3
Option C,Ease of Implementation,5
Option C,Ease of Implementation,2
Option B,Scalability,2
Option B,Cost,3
Option C,Cost,4
Option A,Scalability,1
Option A,Cost,3
Option B,Ease of Implementation,1
Option C,Cost,2
Option A,Ease of Implementation,1
Option A,Cost,1
Option A,Cost,3
Option B,Ease of Implementation,5
Option A,Ease of Implementation,2
Option B,Scalability,1
Option B,Ease of Implementation,5
